
|W204BL      |88.7  MHz |FX |204 |ND  |-                   |D  |-  |LIC    |GAINESVILLE              |FL |US |BLFT   -20081223AAL |0.019  kW |0.019  kW |94.1    |0.0     |92752      |N |29 |39 |42.00 |W |82  |18 |10.00 |EDUCATIONAL MEDIA FOUNDATION                                                |   0.00 km |   0.00 mi |  0.00 deg |124.   m|124.0  m|90142     |-       |1045009 |73.    m|1285968   |
|W204BW      |88.7  MHz |FX |204 |ND  |-                   |D  |-  |LIC    |GULF BREEZE              |FL |US |BLFT   -20111107AIG |0.013  kW |0.013  kW |127.5   |0.0     |8424       |N |30 |23 |46.00 |W |86  |59 |13.00 |CALVARY CHAPEL OF TWIN FALLS, INC.                                          |   0.00 km |   0.00 mi |  0.00 deg |130.   m|130.0  m|104490    |-       |1029918 |122.   m|1459076   |
|W204CD      |88.7  MHz |FX |204 |ND  |-                   |D  |-  |LIC    |PANAMA CITY              |FL |US |BLFT   -20151217AAC |0.05   kW |0.05   kW |0.0     |0.0     |92766      |N |30 |12 |12.00 |W |85  |36 |57.00 |CALVARY CHAPEL OF TWIN FALLS, INC.                                          |   0.00 km |   0.00 mi |  0.00 deg |68.    m|68.0   m|121878    |-       |1029762 |60.    m|1713862   |
|W204CD      |88.7  MHz |FX |204 |ND  |-                   |D  |-  |CP     |PANAMA CITY              |FL |US |BPFT   -20161014AAB |0.055  kW |0.055  kW |0.0     |0.0     |92766      |N |30 |12 |12.00 |W |85  |36 |57.00 |CALVARY CHAPEL OF TWIN FALLS, INC.                                          |   0.00 km |   0.00 mi |  0.00 deg |68.    m|68.0   m|125983    |-       |1029762 |60.    m|1742023   |
|WQCS        |88.9  MHz |FM |205 |ND  |-                   |C1 |-  |LIC    |FORT PIERCE              |FL |US |BLED   -19860414KD  |100.   kW |100.   kW |133.0   |133.0   |28545      |N |27 |25 |17.00 |W |80  |21 |23.00 |INDIAN RIVER                                                                |   0.00 km |   0.00 mi |  0.00 deg |137.   m|137.0  m|-         |-       |-       |132.   m|87343     |
|WFSU-FM     |88.9  MHz |FM |205 |ND  |-                   |C  |-  |LIC    |TALLAHASSEE              |FL |US |BLED   -19950120KD  |95.    kW |95.    kW |379.0   |379.0   |21799      |N |30 |40 |13.00 |W |83  |56 |26.00 |FLORIDA STATE UNIVERSITY                                                    |   0.00 km |   0.00 mi |  0.00 deg |427.   m|427.0  m|-         |-       |-       |359.   m|205745    |
|WKTO        |88.9  MHz |FM |205 |DA  |-                   |C2 |-  |LIC    |EDGEWATER                |FL |US |BLED   -20110603AAS |25.    kW |25.    kW |120.4   |120.4   |42684      |N |29 |1  |30.00 |W |81  |8  |52.00 |MIMS COMMUNITY RADIO, INC.                                                  |   0.00 km |   0.00 mi |  0.00 deg |131.   m|131.0  m|96665     |0.      |1254100 |118.8  m|1430649   |
|WDNA        |88.9  MHz |FM |205 |DA  |-                   |C2 |-  |LIC    |MIAMI                    |FL |US |BMLED  -20130605AAC |7.4    kW |6.3    kW |349.0   |349.0   |4030       |N |25 |32 |24.00 |W |80  |28 |7.00  |BASCOMB MEMORIAL BROADCASTING FOUNDATION                                    |   0.00 km |   0.00 mi |  0.00 deg |351.   m|351.0  m|106282    |0.      |1024985 |349.   m|1557282   |
|WYFE        |88.9  MHz |FM |205 |DA  |-                   |C1 |-  |LIC    |TARPON SPRINGS           |FL |US |BMLED  -20140702ABL |60.    kW |60.    kW |137.0   |137.0   |5173       |N |28 |22 |40.00 |W |82  |40 |26.00 |BIBLE BROADCASTING NETWORK, INC.                                            |   0.00 km |   0.00 mi |  0.00 deg |143.   m|143.0  m|14983     |0.      |1233702 |140.   m|1642427   |
|WKTO        |88.9  MHz |FS |205 |ND  |-                   |C2 |-  |LIC    |EDGEWATER                |FL |US |BXLED  -20070329AFE |0.     kW |0.12   kW |0.0     |29.0    |42684      |N |29 |0  |21.00 |W |80  |56 |21.00 |MIMS COMMUNITY RADIO, INC.                                                  |   0.00 km |   0.00 mi |  0.00 deg |0.0    m|29.    m|-         |-       |-       |27.    m|1179226   |
|WFSU-FM     |88.9  MHz |FS |205 |ND  |-                   |A  |-  |LIC    |TALLAHASSEE              |FL |US |BXLED  -20091204ACZ |0.     kW |0.2    kW |0.0     |62.0    |21799      |N |30 |26 |22.00 |W |84  |17 |29.00 |FLORIDA STATE UNIVERSITY                                                    |   0.00 km |   0.00 mi |  0.00 deg |0.0    m|88.    m|-         |-       |-       |43.    m|1228769   |
|WFSU-FM     |88.9  MHz |FS |205 |ND  |-                   |C  |-  |CP     |TALLAHASSEE              |FL |US |BXPED  -20140304ACO |0.82   kW |0.82   kW |52.5    |52.5    |21799      |N |30 |25 |4.30  |W |84  |18 |49.40 |FLORIDA STATE UNIVERSITY                                                    |   0.00 km |   0.00 mi |  0.00 deg |80.1   m|80.1   m|-         |-       |1038766 |58.8   m|1598015   |
|WUFT-FM     |89.1  MHz |FM |206 |ND  |-                   |C1 |-  |LIC    |GAINESVILLE              |FL |US |BLED   -19811007AJ  |100.   kW |100.   kW |235.0   |235.0   |66604      |N |29 |42 |34.00 |W |82  |23 |40.00 |BOARD OF TRUSTEES, UNIVERSITY OF FLORIDA                                    |   0.00 km |   0.00 mi |  0.00 deg |275.   m|275.0  m|-         |-       |1029807 |220.   m|34983     |
|WFSW        |89.1  MHz |FM |206 |ND  |-                   |C1 |-  |LIC    |PANAMA CITY              |FL |US |BLED   -19951207KC  |100.   kW |100.   kW |123.0   |123.0   |21798      |N |30 |22 |2.00  |W |85  |55 |29.00 |FLORIDA STATE UNIVERSITY                                                    |   0.00 km |   0.00 mi |  0.00 deg |130.   m|130.0  m|-         |-       |-       |112.   m|217723    |
|WSMR        |89.1  MHz |FM |206 |ND  |-                   |C1 |-  |LIC    |SARASOTA                 |FL |US |BLED   -20110224ACN |54.    kW |54.    kW |135.0   |135.0   |64255      |N |27 |9  |3.00  |W |82  |27 |51.00 |UNIVERSITY OF SOUTH FLORIDA BOARD OF TRUSTEES                               |   0.00 km |   0.00 mi |  0.00 deg |136.   m|136.0  m|-         |-       |1036789 |133.   m|1413377   |
|WLAZ        |89.1  MHz |FM |206 |DA  |-                   |C3 |-  |LIC    |KISSIMMEE                |FL |US |BLED   -20110525ADJ |0.     kW |5.2    kW |0.0     |159.0   |27292      |N |28 |10 |27.00 |W |81  |17 |1.00  |CAGUAS EDUCATIONAL TV, INC.                                                 |   0.00 km |   0.00 mi |  0.00 deg |0.0    m|177.   m|85733     |0.      |1031911 |157.   m|1427822   |
|WUFT-FM     |89.1  MHz |FS |206 |ND  |-                   |C1 |-  |CP     |GAINESVILLE              |FL |US |BXPED  -20161024ACF |0.557  kW |0.557  kW |103.4   |103.4   |66604      |N |29 |38 |36.30 |W |82  |25 |9.50  |BOARD OF TRUSTEES, UNIVERSITY OF FLORIDA                                    |   0.00 km |   0.00 mi |  0.00 deg |135.1  m|135.1  m|-         |-       |1030791 |111.3  m|1742723   |
|W206AS      |89.1  MHz |FX |206 |DA  |-                   |D  |-  |LIC    |BIG PINE KEY             |FL |US |BLFT   -19990526TJ  |0.216  kW |0.14   kW |80.0    |0.0     |59323      |N |24 |39 |2.00  |W |81  |18 |36.00 |THE SCHOOL BOARD OF MIAMI - DADE COUNTY, FL                                 |   0.00 km |   0.00 mi |  0.00 deg |80.    m|80.0   m|14186     |0.      |1029593 |80.    m|285608    |
|WKFA        |89.3  MHz |FM |207 |DA  |-                   |A  |-  |LIC    |ST. CATHERINE            |FL |US |BLED   -20090305AFX |0.     kW |3.9    kW |0.0     |98.0    |89697      |N |28 |32 |22.00 |W |82  |4  |48.00 |FLORIDA PUBLIC RADIO, INC.                                                  |   0.00 km |   0.00 mi |  0.00 deg |0.0    m|120.   m|83627     |0.      |1210879 |94.    m|1307244   |
|WFLJ        |89.3  MHz |FM |207 |DA  |-                   |C3 |-  |LIC    |FROSTPROOF               |FL |US |BLED   -20091112AEX |0.     kW |10.    kW |0.0     |117.7   |93274      |N |27 |33 |37.00 |W |81  |29 |37.00 |RADIO TRAINING NETWORK, INC.                                                |   0.00 km |   0.00 mi |  0.00 deg |0.0    m|147.7  m|94213     |0.      |1204823 |102.   m|1341285   |
|WPIO        |89.3  MHz |FM |207 |ND  |-                   |C3 |-  |LIC    |TITUSVILLE               |FL |US |BLED   -20100315AAA |7.1    kW |7.1    kW |102.0   |102.0   |21787      |N |28 |34 |49.00 |W |80  |51 |0.00  |FLORIDA PUBLIC RADIO, INC.                                                  |   0.00 km |   0.00 mi |  0.00 deg |105.   m|105.0  m|-         |-       |1027234 |100.   m|1360007   |
|WRMB        |89.3  MHz |FM |207 |ND  |-                   |C1 |-  |LIC    |BOYNTON BEACH            |FL |US |BLED   -20101115DQI |100.   kW |100.   kW |143.0   |143.0   |43686      |N |26 |31 |4.00  |W |80  |10 |14.00 |THE MOODY BIBLE INSTITUTE OF CHICAGO                                        |   0.00 km |   0.00 mi |  0.00 deg |145.   m|145.0  m|-         |-       |1025957 |139.   m|1407245   |
